feature,gain,split
INS_36M_LATE_PAYMENT_RATIO_MEAN,8697.077087974549,306.2
INS_36M_DBD_VAR,8673.04490365982,462.8
INS_36M_DPD_VAR,8672.30090675354,285.2
BUREAU_AMT_CREDIT_SUM_MEAN,8658.934912109375,434.6
INS_36M_DPD_7_MEAN,8644.677583694458,236.4
APPROVED_SIMPLE_INTERESTS_MIN,8621.672655010223,339.6
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MIN,8588.57578754425,452.8
INS_36M_DBD_MEAN,8576.462129116058,465.8
CC_CNT_DRAWINGS_CURRENT_MEAN,8574.777819252015,291.4
CC_LIMIT_USE_MAX,8560.384980201721,338.0
BUREAU_LAST24M_AMT_CREDIT_SUM_MAX,8517.869723701477,385.0
BUREAU_INCOME_CREDIT_RATIO,8463.745005702973,431.2
INS_36M_DAYS_ENTRY_PAYMENT_MIN,8449.532116985321,396.4
PREV_Consumer_SIMPLE_INTERESTS_VAR,8448.4488363266,453.8
REGION_RATING_CLIENT_W_CITY,8412.553036117553,287.6
PREV_LAST24M_DAYS_DECISION_MIN,8391.333384418487,443.2
INS_18M_LATE_PAYMENT_RATIO_MEAN,8370.37531375885,315.0
INS_18M_DPD_VAR,8362.164651870728,265.0
BUREAU_CLOSED_AMT_CREDIT_SUM_MAX,8360.864792156219,429.0
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MEAN,8206.6047706604,386.4
BUREAU_LAST24M_AMT_CREDIT_SUM_DEBT_SUM,8166.2221110343935,353.0
BUREAU_CONSUMER_DAYS_CREDIT_MEAN,8137.46173286438,435.0
POS_MONTHS_BALANCE_MIN,8135.857031059265,371.8
INS_DBD_MAX,8130.703445625305,430.2
HOUR_APPR_RATIO,8128.976829719543,448.6
CC_12M_CNT_DRAWINGS_ATM_CURRENT_MEAN,8118.363512897491,198.2
PREV_Consumer_APPLICATION_CREDIT_DIFF_VAR,8105.066790676117,434.6
PREV_AMT_DOWN_PAYMENT_MAX,8102.872400474548,340.4
INS_18M_DBD_MEAN,8101.599043750763,430.8
BUREAU_DAYS_CREDIT_MIN,8069.394171333313,438.4
PREV_LAST24M_DAYS_DECISION_MEAN,8038.2262903213505,425.6
PREV_Consumer_SIMPLE_INTERESTS_MIN,7977.8431016921995,406.8
GROUP1_CREDIT_TO_ANNUITY_MEDIAN,7972.296747684479,340.2
CTA_CREDIT_TO_ANNUITY_MEAN_RATIO,7972.064026927948,427.6
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MIN,7923.795921039581,352.4
CTAR_CREDIT_TO_GOODS_RATIO_MEDIAN,7913.671050357819,197.0
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MAX,7902.628245258331,346.6
PREV_Consumer_APPLICATION_CREDIT_DIFF_MIN,7884.216151046753,416.0
PREV_Cash_DAYS_DECISION_MAX,7843.504372787475,427.6
POS_REMAINING_INSTALMENTS,7836.777027511596,322.4
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MAX,7781.801184749604,395.8
PREV_Consumer_SIMPLE_INTERESTS_MEAN,7738.91435251236,403.4
BUREAU_DAYS_CREDIT_ENDDATE_MIN,7728.853453350067,416.4
CTAR_EXT_SOURCE_2_MEDIAN,7725.652492427826,408.8
INS_18M_DAYS_ENTRY_PAYMENT_MAX,7725.436125850678,393.0
PREV_DAYS_DECISION_MEAN,7525.570196914673,343.6
INS_AMT_PAYMENT_MIN,7513.940611743927,399.4
DAYS_DECISION_MEAN_TO_BIRTH,7492.111900043487,360.8
PREV_Consumer_SIMPLE_INTERESTS_MAX,7492.11166973114,405.4
TOTALAREA_MODE,7475.149160671234,365.8
PREV_Consumer_APPLICATION_CREDIT_RATIO_MIN,7464.391082954407,385.4
INS_DAYS_ENTRY_PAYMENT_MEAN,7433.060662841797,347.0
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_MEAN,7425.521157550812,352.8
PREV_AMT_ANNUITY_MIN,7425.079139709473,383.4
BUREAU_LAST36M_DEBT_PERCENTAGE_MEAN,7412.363716506958,284.8
CTAR_EXT_SOURCE_2_MEAN,7392.737288665771,366.6
APPROVED_CNT_PAYMENT_MEAN,7368.156027984619,316.6
DEF_30_CNT_SOCIAL_CIRCLE,7351.113223266601,260.2
APPROVED_SIMPLE_INTERESTS_MAX,7288.765577411652,393.8
POS_LOAN_COMPLETED_MEAN,7270.5868656158445,382.6
PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,7269.930806732178,348.6
BUREAU_CREDIT_AMT_CREDIT_SUM_MEAN,7259.673607349396,404.0
CTA_CREDIT_TO_ANNUITY_MAX_RATIO,7241.085053825378,396.8
PREV_AMT_DOWN_PAYMENT_MEAN,7209.5997563362125,344.8
PREV_ACTIVE_DAYS_DECISION_MIN,7208.3660987854,379.2
POS_NAME_CONTRACT_STATUS_Active_MEAN,7168.420388126373,370.6
INS_DBD_MEAN,7145.3906807899475,378.2
INS_18M_DBD_MAX,7133.029438114167,379.0
INS_18M_AMT_PAYMENT_SUM,7067.976231861115,348.2
PREV_ACTIVE_REMAINING_DEBT_MEAN,7052.058829975128,321.8
INS_18M_AMT_INSTALMENT_MIN,7018.350989913941,353.2
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MIN,6966.677569961548,328.0
APPROVED_AMT_CREDIT_MIN,6964.125174808502,361.8
REFUSED_DAYS_DECISION_MAX,6933.455344486237,336.6
GROUP1_CREDIT_STD,6926.840243244171,311.0
BUREAU_LAST24M_AMT_CREDIT_SUM_DEBT_MEAN,6924.253681182861,314.4
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_SUM,6885.86524848938,321.4
INS_18M_DAYS_ENTRY_PAYMENT_MIN,6882.490760612488,346.6
